ERIC B,ERIC B
2021-11-15,95.419998
2021-11-12,96.449997
2021-11-11,96.320000
2021-11-10,96.260002
2021-11-09,95.889999
2021-11-08,95.360001
2021-11-05,95.000000
2021-11-04,93.580002
2021-11-03,93.519997
2021-11-02,91.930000
2021-11-01,93.260002
2021-10-29,94.000000
2021-10-28,94.360001
2021-10-27,95.349998
2021-10-26,96.580002
2021-10-25,96.150002
2021-10-22,99.669998
2021-10-21,102.660004
2021-10-20,102.040001
2021-10-19,102.239998
2021-10-18,106.199997
2021-10-15,105.779999
2021-10-14,105.480003
2021-10-13,105.739998
2021-10-12,104.860001
2021-10-11,104.739998
2021-10-08,102.459999
2021-10-07,102.739998
2021-10-06,99.830002
2021-10-05,99.739998
AZN,AZN
2021-11-15,1055.00
2021-11-12,1031.20
2021-11-11,1096.40
2021-11-10,1097.00
2021-11-09,1079.20
2021-11-08,1087.20
2021-11-05,1087.00
2021-11-04,1095.40
2021-11-03,1090.60
2021-11-02,1095.80
2021-11-01,1067.00
2021-10-29,1067.60
2021-10-28,1069.20
2021-10-27,1060.40
2021-10-26,1068.60
2021-10-25,1057.40
2021-10-22,1064.00
2021-10-21,1049.40
2021-10-20,1040.80
2021-10-19,1040.00
2021-10-18,1034.00
2021-10-15,1041.60
2021-10-14,1043.00
2021-10-13,1054.00
2021-10-12,1059.40
2021-10-11,1069.20
2021-10-08,1061.40
2021-10-07,1060.40
2021-10-06,1048.00
2021-10-05,1052.80
ELUX B,ELUX B
2021-11-15,209.70
2021-11-12,201.50
2021-11-11,201.00
2021-11-10,199.70
2021-11-09,196.75
2021-11-08,196.65
2021-11-05,201.00
2021-11-04,201.60
2021-11-03,200.50
2021-11-02,199.25
2021-11-01,195.30
2021-10-29,194.90
2021-10-28,193.00
2021-10-27,197.35
2021-10-26,197.65
2021-10-25,198.30
2021-10-22,196.05
2021-10-21,196.10
2021-10-20,196.25
2021-10-19,193.85
2021-10-18,189.85
2021-10-15,190.00
2021-10-14,185.55
2021-10-13,186.15
2021-10-12,184.74
2021-10-11,183.92
2021-10-08,185.80
2021-10-07,183.80
2021-10-06,180.68
2021-10-05,185.60
EVO,EVO
2021-11-15,1466.199951
2021-11-12,1421.800049
2021-11-11,1389.800049
2021-11-10,1378.599976
2021-11-09,1391.000000
2021-11-08,1351.599976
2021-11-05,1357.800049
2021-11-04,1404.400024
2021-11-03,1397.400024
2021-11-02,1388.599976
2021-11-01,1401.000000
2021-10-29,1389.199951
2021-10-28,1415.000000
2021-10-27,1541.000000
2021-10-26,1553.800049
2021-10-25,1510.000000
2021-10-22,1527.400024
2021-10-21,1506.000000
2021-10-20,1491.599976
2021-10-19,1488.599976
2021-10-18,1406.400024
2021-10-15,1384.800049
2021-10-14,1353.400024
2021-10-13,1330.000000
2021-10-12,1277.800049
2021-10-11,1238.800049
2021-10-08,1268.800049
2021-10-07,1298.599976
2021-10-06,1307.599976
2021-10-05,1354.000000
